iter	Passed	Remaining
403	7052	10403
404	7066	10381
405	7086	10368
406	7100	10345
407	7115	10323
408	7128	10300
409	7147	10285
410	7165	10269
411	7180	10247
412	7194	10225
413	7214	10212
414	7228	10189
415	7242	10167
416	7259	10148
417	7279	10135
418	7293	10113
419	7307	10091
420	7320	10067
421	7339	10052
422	7355	10033
423	7370	10012
424	7385	9992
425	7411	9986
426	7426	9965
427	7440	9943
428	7455	9922
429	7474	9907
430	7488	9886
431	7509	9873
432	7522	9850
433	7542	9836
434	7555	9813
435	7572	9795
436	7587	9774
437	7607	9760
438	7622	9740
439	7635	9717
440	7649	9696
441	7668	9681
442	7682	9660
443	7697	9638
444	7711	9617
445	7733	9605
446	7746	9583
447	7760	9562
448	7776	9543
449	7798	9531
450	7812	9510
451	7826	9489
452	7841	9468
453	7861	9454
454	7875	9433
455	7889	9411
456	7903	9390
457	7924	9377
458	7937	9355
459	7951	9334
460	7965	9313
461	7989	9303
462	8003	9282
463	8017	9261
464	8035	9244
465	8054	9230
466	8068	9209
467	8082	9187
468	8096	9167
469	8117	9153
470	8131	9132
471	8144	9111
472	8158	9089
473	8179	9076
474	8194	9056
475	8210	9038
476	8223	9017
477	8243	9002
478	8256	8980
479	8271	8960
480	8286	8941
481	8305	8925
482	8319	8905
483	8334	8885
484	8347	8863
485	8368	8850
486	8382	8830
487	8398	8811
488	8413	8792
489	8435	8779
490	8450	8760
491	8464	8740
492	8479	8720
493	8499	8706
494	8514	8686
495	8528	8666
496	8542	8645
497	8562	8631
498	8577	8612
499	8592	8592
500	8608	8574
501	8629	8560
502	8642	8539
503	8657	8520
504	8670	8499
505	8690	8484
506	8705	8465
507	8719	8444
508	8732	8423
509	8751	8408
510	8765	8388
511	8779	8367
512	8794	8348
513	8816	8336
514	8832	8317
515	8846	8298
516	8861	8278
517	8879	8262
518	8892	8241
519	8906	8221
520	8919	8200
521	8940	8186
522	8954	8166
523	8968	8146
524	8982	8126
525	9002	8112
526	9017	8093
527	9033	8075
528	9048	8056
529	9067	8041
530	9081	8021
531	9096	8002
532	9110	7982
533	9131	7968
534	9147	7950
535	9161	7930
536	9175	7910
537	9195	7896
538	9209	7876
539	9224	7858
540	9238	7838
541	9257	7822
542	9271	7803
543	9286	7784
544	9300	7764
545	9321	7750
546	9336	7731
547	9350	7712
548	9363	7692
549	9388	7681
550	9408	7666
551	9425	7649
552	9440	7630
553	9460	7615
554	9474	7596
555	9487	7576
556	9501	7556
557	9522	7542
558	9536	7523
559	9550	7503
560	9563	7483
561	9584	7469
562	9597	7449
563	9612	7430
564	9627	7412
565	9657	7405
566	9672	7386
567	9687	7367
568	9700	7347
569	9721	7333
570	9735	7314
571	9749	7295
572	9764	7276
573	9784	7261
574	9798	7242
575	9815	7225
576	9832	7207
577	9853	7194
578	9870	7176
579	9883	7157
580	9896	7137
581	9917	7123
582	9931	7103
583	9946	7085
584	9960	7066
585	9980	7050
586	9993	7031
587	10008	7012
588	10022	6993
589	10044	6980
590	10059	6961
591	10073	6942
592	10087	6923
593	10108	6909
594	10123	6891
595	10137	6871
596	10151	6852
597	10171	6837
598	10185	6818
599	10199	6799
600	10216	6782
601	10238	6769
602	10256	6752
603	10270	6733
604	10284	6714
605	10303	6699
606	10318	6680
607	10332	6662
608	10347	6643
609	10368	6629
610	10383	6610
611	10397	6591
612	10414	6575
613	10438	6562
614	10453	6543
615	10469	6526
616	10484	6508
617	10504	6493
618	10518	6473
619	10532	6455
620	10545	6436
621	10565	6420
622	10579	6402
623	10594	6383
624	10607	6364
625	10626	6348
626	10640	6330
627	10654	6310
628	10667	6292
629	10689	6277
630	10703	6259
631	10721	6242
632	10735	6224
633	10755	6209
634	10772	6191
635	10786	6173
636	10800	6154
637	10820	6139
638	10835	6121
639	10849	6102
640	10863	6084
641	10883	6069
642	10899	6051
643	10914	6033
644	10928	6014
645	10948	5999
646	10963	5981
647	10978	5963
648	10991	5944
649	11013	5930
650	11031	5913
651	11045	5895
652	11059	5876
653	11079	5861
654	11094	5843
655	11110	5826
656	11126	5808
657	11147	5793
658	11161	5775
659	11175	5757
660	11189	5738
661	11209	5723
662	11224	5705
663	11237	5686
664	11252	5668
665	11271	5652
666	11285	5634
667	11300	5616
668	11316	5598
669	11336	5583
670	11349	5565
671	11363	5546
672	11377	5528
673	11402	5515
674	11417	5497
675	11430	5478
676	11444	5459
677	11463	5444
678	11477	5426
679	11491	5407
680	11505	5389
681	11527	5375
682	11542	5357
683	11555	5338
684	11570	5320
685	11591	5305
686	11605	5287
687	11619	5269
688	11634	5251
689	11652	5235
690	11667	5217
691	11681	5199
692	11695	5181
693	11715	5165
694	11730	5148
695	11745	5130
696	11759	5112
697	11780	5097
698	11795	5079
699	11809	5061
700	11824	5043
701	11844	5028
702	11857	5009
703	11872	4991
704	11887	4974
705	11908	4958
706	11922	4941
707	11939	4924
708	11953	4906
709	11974	4890
710	11988	4872
711	12002	4855
712	12016	4836
713	12035	4820
714	12048	4802
715	12062	4784
716	12077	4766
717	12097	4751
718	12109	4732
719	12122	4714
720	12135	4696
721	12157	4681
722	12171	4663
723	12189	4646
724	12202	4628
725	12223	4613
726	12237	4595
727	12251	4577
728	12265	4559
729	12286	4544
730	12300	4526
731	12315	4508
732	12328	4490
733	12347	4474
734	12363	4457
735	12377	4439
736	12392	4422
737	12413	4406
738	12426	4388
739	12441	4371
740	12455	4353
741	12475	4337
742	12489	4320
743	12503	4302
744	12516	4284
745	12535	4268
746	12550	4250
747	12565	4233
748	12580	4215
749	12599	4199
750	12614	4182
751	12628	4164
752	12642	4146
753	12662	4131
754	12676	4113
755	12690	4096
756	12704	4078
757	12723	4062
758	12738	4044
759	12754	4027
760	12768	4010
761	12791	3995
762	12807	3978
763	12820	3960
764	12834	3942
765	12854	3926
766	12869	3909
767	12882	3891
768	12896	3873
769	12916	3858
770	12928	3839
771	12942	3822
772	12957	3805
773	12978	3789
774	13001	3774
775	13016	3757
776	13030	3739
777	13050	3723
778	13063	3706
779	13078	3688
780	13092	3671
781	13113	3655
782	13127	3638
783	13141	3620
784	13155	3603
785	13174	3586
786	13191	3570
787	13204	3552
788	13219	3535
789	13237	3518
790	13251	3501
791	13264	3483
792	13278	3466
793	13297	3449
794	13311	3432
795	13323	3414
796	13338	3397
797	13359	3381
798	13372	3364
799	13391	3347
800	13410	3331
801	13432	3316
802	13446	3298
803	13467	3283
804	13483	3266
805	13503	3250
806	13517	3232
807	13531	3215
808	13547	3198
809	13566	3182
